country_name,matched_fishing,matched_unknown_likelyfish,matched_nonfishing,matched_unknown_likelynonfish,unmatched_fishing,unmatched_nonfishing,sum_match_unmatched,ratio_unmatch_matched
Guam,0.256740443,0.015130347,1.190275443,0.11846682,0.543762517,0.671557808,0.80050296,0.679276085
Cameroon,5.90340423,1.360970071,33.48521545,1.242232147,11.55297958,5.42885848,17.45638381,0.661819751
Ghana,21.46637849,2.744567886,68.11230962,2.388770268,41.8712883,9.989036897,63.33766679,0.661080372
Canada,77.10156117,3.696174351,157.0332943,4.769011357,147.2064501,35.79916257,224.3080113,0.656269249
South Korea,282.8397555,61.95163024,601.7111488,35.91202117,539.2781845,105.5309092,822.11794,0.655962069
Greece,59.77813014,2.615951498,414.6181392,12.79166054,107.7897628,33.58925176,167.5678929,0.643260239
China,2597.779802,661.5039603,5910.249723,422.2802129,4654.144367,1083.352974,7251.924169,0.641780617
Seychelles,0.039117538,0,0.319295745,0,0.068422338,0.026075425,0.107539876,0.636250855
,183.5166117,8.673781849,459.0461331,17.08522182,314.3400287,96.54360624,497.8566404,0.631386635
Kenya,1.708862298,0.224353373,12.46449675,0.332463821,2.727494946,3.028897969,4.436357244,0.614805075
Taiwan,106.3712014,18.56918701,265.5026252,15.21040057,168.7113377,60.36682458,275.0825391,0.613311693
Guinea-Bissau,21.21220024,4.459564685,15.64321181,0.8638238,30.67936278,7.072572292,51.89156302,0.591220634
Cape Verde,1.108376784,0.095606335,7.747011701,0.107992304,1.564844167,0.482173874,2.673220951,0.585377788
Solomon Islands,6.84382792,0.832625839,8.158650751,0.669401804,9.56683053,8.870688762,16.41065845,0.582964453
Saint Pierre and Miquelon,0.532901264,0.028686313,1.474892338,0.00311616,0.704958537,0.14131066,1.237859801,0.569497884
Bahrain,4.608098037,0.597051845,20.75913213,0.78670035,6.033032549,2.003266134,10.64113059,0.566954094
Malta,7.393755136,0.231408266,58.66974745,1.518196147,9.646112618,2.802638536,17.03986775,0.566090815
Tonga,1.28799137,0.187064013,1.502153861,0.083714465,1.648056077,0.513637608,2.936047447,0.561317931
